mileage,engine,power,torque,price
7.81,2996,2996,333,63.75
17.4,999,999,9863,8.99
20.68,1995,1995,188,23.75
16.5,1353,1353,13808,13.56
14.67,1798,1798,17746,24
18.7,1199,1199,887,5.45
18.9,1197,1197,8186,5.12
15.8,1591,1591,1213,9.3
13.5,2987,2987,25479,42
17,1198,1198,1085,8.02
17.4,1497,1497,1176,10.95
16.42,1498,1498,10455,8.99
18.88,1995,1995,184,7.45
18.15,998,998,11835,10.95
18.9,1197,1197,8186,5.78
21,1197,1197,8180,8.95
18.88,1995,1995,184,8.5
22.69,1995,1995,190,23.5
17,1497,1497,12136,7.95
14.1,1368,1368,16077,18.95
12.4,1996,1996,21501,35
16.1,1197,1197,85,2.09
18,1497,1497,1173,6.25
998,671,671,90,2.12
18.53,1968,1968,18774,20
15.29,1591,1591,1213,8.35
21.4,1197,1197,831,5.03
17.1,1496,1496,10594,6.95
12.55,2982,2982,1685,16
16.8,1353,1353,13808,15.22
13.5,1999,1999,177,26.95
18.6,1197,1197,8186,6.7
17.1,1956,1956,170,10.75
20.68,1995,1995,188,25.5
22.56,1197,1197,8850,8.38
17.6,1582,1582,1262,10.9
17.8,1198,1198,867,3.95
26.49,1199,1199,72,7.25
1498,986,986,200,4.75
10.98,1984,1984,1144,11.95
12.4,1996,1996,21501,35
16.1,1197,1197,85,2.09
18,1497,1497,1173,6.25
998,671,671,90,2.12
18.53,1968,1968,18774,20
15.29,1591,1591,1213,8.35
21.4,1197,1197,831,5.03
17.1,1496,1496,10594,6.95
12.55,2982,2982,1685,16
16.8,1353,1353,13808,15.22
13.5,1999,1999,177,26.95
18.6,1197,1197,8186,6.7
17.1,1956,1956,170,10.75
20.68,1995,1995,188,25.5
22.56,1197,1197,8850,8.38
17.6,1582,1582,1262,10.9
